"MESH_ID","UMLS_CUI","ICD10CM_CODE","DRESCP"
"C562587","C0268125","D81.5","Purine nucleoside phosphorylase [PNP] deficiency"
"D004671","C0751098","A83.9","Mosquito-borne viral encephalitis, unspecified"
"D004927","C0014836","B96.20","Unsp Escherichia coli as the cause of diseases classd elswhr"
"D013622","C0039254","B68.9","Taeniasis, unspecified"
"D014201","C0040820","B66.9","Fluke infection, unspecified"
"D017074","C0009447","D83.9","Common variable immunodeficiency, unspecified"
"D018792","C0243010","A86","Unspecified viral encephalitis"
"D007411","C0021832","B82.9","Intestinal parasitism, unspecified"
"D002372","C0007361","A28.1","Cat-scratch disease"
"D004211","C0012739","D65","Disseminated intravascular coagulation"
"D013120","C0154034","D33.4","Benign neoplasm of spinal cord"
"D013202","C0038159","A05.0","Foodborne staphylococcal intoxication"
"D018442","C0242647","C88.4","Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss"
"D020805","C0348165","A89","Unspecified viral infection of central nervous system"
"D010326","C0030636","A28.0","Pasteurellosis"
"D009369","C0086692","D36.9","Benign neoplasm, unspecified site"
"D020803","C0276226","B00.4","Herpesviral encephalitis"
"D008088","C0023860","A32.9","Listeriosis, unspecified"
"D013120","C0153646","C72.0","Malignant neoplasm of spinal cord"
"D014245","C0040921","A59.9","Trichomoniasis, unspecified"
"D006457","C0024790","D59.5","Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]"
"D010412","C0153601","C60.9","Malignant neoplasm of penis, unspecified"
"D014257","C0040954","B79","Trichuriasis"
"D016736","C0085278","D68.61","Antiphospholipid syndrome"
"D003110","C0007102","C18.9","Malignant neoplasm of colon, unspecified"
"D014846","C0375071","C51.9","Malignant neoplasm of vulva, unspecified"
"D015605","C0010232","B08.010","Cowpox"
"D014435","C0041466","A01.00","Typhoid fever, unspecified"
"D002177","C0006840","B37.9","Candidiasis, unspecified"
"D008258","C0024419","C88.0","Waldenstrom macroglobulinemia"
"D007414","C0346627","C26.0","Malignant neoplasm of intestinal tract, part unspecified"
"D010229","C0030409","B41.9","Paracoccidioidomycosis, unspecified"
"D004405","C0013371","A03.9","Shigellosis, unspecified"
"D014395","C0041325","A18.31","Tuberculous peritonitis"
"D051359","C0024291","D76.1","Hemophagocytic lymphohistiocytosis"
"D003003","C0009021","B66.1","Clonorchiasis"
"D004165","C0012546","A36.9","Diphtheria, unspecified"
"D009889","C0029106","B66.0","Opisthorchiasis"
"D001759","C0005716","B40.9","Blastomycosis, unspecified"
"D006971","C0020532","D73.1","Hypersplenism"
"D012227","C0035469","B48.1","Rhinosporidiosis"
"D012805","C0037054","D57.3","Sickle-cell trait"
"D013966","C0040147","E06.9","Thyroiditis, unspecified"
"D058285","C0277356","B88.1","Tungiasis [sandflea infestation]"
"D002590","C0392661","B71.1","Dipylidiasis"
"D007617","C0936250","B00.0","Eczema herpeticum"
"D006478","C0282192","A96.1","Machupo hemorrhagic fever"
"D017206","C0039090","B83.3","Syngamiasis"
"D014438","C0041471","A75.9","Typhus fever, unspecified"
"D010930","C0524687","A20.3","Plague meningitis"
