PMID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
28767567,C22.0,C22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28595573,"('Z87.5', 0.3333333333333333)","('O98.71', 0.2857142857142857)","('O22', 0.5)","('O88.1', 0.6666666666666666)","('O02.81', 0.2222222222222222)","('O04.89', 0.5)","('O07.39', 0.4)","('P01', 0.4)",I45.81,"('O94', 0.4)","('O29', 0.6666666666666666)","('P00-P04', 0.2222222222222222)","('O08', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28559815,O26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28538413,"('Z85.11', 0.3333333333333333)","('C43', 0.3333333333333333)",C15,"('D38.1', 0.3333333333333333)","('D03', 0.5)","('C43-C44', 0.4)","('C78.0', 0.5)","('D14.3', 0.5)",C15.9,"('Z80.1', 0.2857142857142857)","('C34', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28422883,"('G89.18', 0.3333333333333333)","('Z85.11', 0.3333333333333333)","('C44.52', 0.4)","('R87.610', 0.2222222222222222)","('D38.1', 0.3333333333333333)","('C78.0', 0.5)","('D14.3', 0.5)","('R85.610', 0.2222222222222222)",J86.0,"('Z80.1', 0.2857142857142857)","('C34', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28403099,"('Z85.11', 0.3333333333333333)","('C7B.01', 0.3333333333333333)","('D36.0', 0.75)","('M30.3', 0.4)","('D38.1', 0.3333333333333333)","('I89.8', 0.5)","('C46.3', 0.4)","('D14.3', 0.5)","('D86.2', 0.75)","('I80-I89', 0.3333333333333333)","('Z80.1', 0.2857142857142857)",C22.9,"('L04', 0.3333333333333333)","('C34', 0.5)","('C81.92', 0.3333333333333333)",C22.0,"('A15.4', 0.5)","('R59', 0.6666666666666666)","('C82.92', 0.3333333333333333)","('A18.39', 0.5)","('C83.73', 0.4)","('C78.0', 0.5)","('C77', 0.5)","('C85.12', 0.3333333333333333)","('C84.12', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28403092,R40.20,"('G89.18', 0.3333333333333333)",K72.91,K72,E72.20,K92.2,C70.9,R40.2,D32,D32.9,C70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28403086,"('S75.0', 0.3333333333333333)","('Z85.11', 0.3333333333333333)","('T82.322', 0.2)","('D38.1', 0.3333333333333333)","('M93.0', 0.2)","('G57.2', 0.3333333333333333)","('D14.3', 0.5)","('S74.1', 0.16666666666666666)","('Z80.1', 0.2857142857142857)","('Q65.89', 0.3333333333333333)","('C34', 0.5)","('S79.01', 0.25)","('Q72.4', 0.25)","('K41', 0.5)","('M84.75', 0.3333333333333333)","('C78.0', 0.5)","('I82.51', 0.2)","('I80.1', 0.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28383413,"('C43', 0.6666666666666666)","('C74', 0.5)","('C43-C44', 0.6)","('C73', 0.5)","('C51.0', 0.2857142857142857)","('C63.2', 0.5)",H53.15,"('D10.39', 0.3333333333333333)","('A18.82', 0.6666666666666666)","('D30.8', 0.5)","('D17.2', 0.2857142857142857)","('D29.4', 0.5)","('C69.5', 0.4)","('C51-C58', 0.3333333333333333)","('C44', 0.5)","('D23', 0.5)","('D48.5', 0.5)","('D03', 0.5)","('D34', 0.5)","('C07', 0.5)","('C73-C75', 0.3333333333333333)","('C60.9', 0.4)","('D31.5', 0.4)","('C79.2', 0.5)",H53.11,"('E23', 0.5)","('D37.03', 0.3333333333333333)","('C60-C63', 0.3333333333333333)","('D39.8', 0.2857142857142857)","('Z85.82', 0.4)","('D11.0', 0.5)","('D28', 0.3333333333333333)","('C08.0', 0.5)","('D49.2', 0.2857142857142857)","('A52.79', 0.6666666666666666)","('D35.2', 0.75)","('C75.1', 0.75)","('Z12.83', 0.4)","('D44.3', 0.6)","('C06.9', 0.2857142857142857)","('C68.1', 0.5)","('E22', 0.6666666666666666)","('D40.8', 0.2857142857142857)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28353613,J15.9,A43.0,A43.9,A43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28353604,I26,I26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28353596,M35.00,"('E83.31', 0.5)","('E55.0', 0.5)",M35.0,"('M83', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28353588,C15,C15.9,C88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
